Species,Country_of_Origin,Number_of_Bags,Bag_Weight,Harvest_Year,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,BitterSweetness,Mouthfeel_Body,Uniform_Cup,Clean_cup,Blance,Cupper_Points,Total_Cup_Points,Moisture,Category_one_Defects,Quakers,Color,Category_Two_Defects
Arabica,Colombia,252,70,2015.0,Washed / Wet,7.92,7.83,7.75,7.83,10.0,7.75,10.0,10.0,8.0,7.83,84.92,0.12,0,0.0,Green,1
Arabica,Taiwan,20,40,2015.0,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,10.0,8.0,10.0,10.0,7.92,7.92,84.92,0.11,0,0.0,Green,0
Arabica,"Tanzania, United Republic Of",134,60,2014.0,Washed / Wet,8.0,7.83,7.83,7.92,10.0,7.75,10.0,10.0,7.75,7.83,84.92,0.12,0,0.0,Green,2
Arabica,Colombia,50,70,2012.0,Washed / Wet,7.75,7.92,7.83,7.75,10.0,7.75,10.0,10.0,8.0,7.92,84.92,0.11,0,0.0,Green,3
Arabica,Mexico,25,1,2012.0,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,10.0,7.5,10.0,10.0,7.92,8.17,84.92,0.11,0,0.0,,0
Arabica,Brazil,4,60,2011.0,Natural / Dry,8.0,7.92,7.75,7.75,10.0,8.0,10.0,10.0,7.75,7.75,84.92,0.11,0,0.0,Green,2
Arabica,Brazil,10,60,2011.0,Natural / Dry,8.0,8.0,7.75,8.0,10.0,7.5,10.0,10.0,7.75,7.92,84.92,0.12,0,0.0,Green,2
Arabica,Kenya,320,60,2009.0,,8.0,7.67,7.83,8.17,10.0,7.92,10.0,10.0,7.75,7.58,84.92,0.06,1,0.0,,9
Arabica,Taiwan,10,20,2016.0,Natural / Dry,7.92,7.58,7.83,7.83,10.0,7.83,10.0,10.0,7.83,8.0,84.83,0.0,0,0.0,Green,0
Arabica,Uganda,1,60,2013.0,Natural / Dry,7.75,7.92,7.67,7.67,10.0,8.25,10.0,10.0,7.75,7.83,84.83,0.12,0,0.0,Green,1
Arabica,United States (Hawaii),14,50,2012.0,Natural / Dry,7.67,7.75,7.75,7.75,10.0,7.83,10.0,10.0,8.0,8.08,84.83,0.0,3,0.0,,15
Arabica,Ethiopia,300,6,2009.0,,7.75,7.92,7.83,7.92,10.0,7.75,10.0,10.0,7.67,8.0,84.83,0.1,0,0.0,,2
Arabica,Ethiopia,300,6,2009.0,,7.42,7.92,7.92,8.0,10.0,7.83,10.0,10.0,7.83,7.92,84.83,0.1,0,0.0,,4
